"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C204,C205,C206,C203,C202";"C_0805_2012Metric";5;"10u";;;
2;"R101,R205,R204,R202,R210,R207,R206,R201,R203";"R_0402_1005Metric";9;"100k";;;
3;"D102,D103,D101";"SODFL1006X40N";3;"ESD9X12ST5G";;;
4;"R304,R303";"R_0402_1005Metric";2;"100k";;;
5;"IC302,IC301";"MP1479GTFZ";2;"MP1479GTF-Z";;;
6;"LED103,LED101,LED301,LED102";"LEDC1608X80N";4;"150060AS75000";;;
7;"D401,D403,D404";"SODFL1006X40N";3;"SZESD8351P2T5G";;;
8;"IC101";"QFN50P500X500X60-33N-D";1;"STM32L431KBU6";;;
9;"R405,R208,R403,R401";"R_0402_1005Metric";4;"220";;;
10;"C102,C106,C209,C108,C207,C208,C101,C201,C104,C105,C402,C210,C401,C404";"C_0402_1005Metric";14;"100n";;;
11;"R305,R306";"R_0402_1005Metric";2;"47k";;;
12;"R311,R109,R108,R105";"R_0402_1005Metric";4;"649";;;
13;"R308,R106,R310";"R_0402_1005Metric";3;"40.2k";;;
14;"J101";"B8BPHKSLFSN";1;"B8B-PH-K-S_LF__SN_";;;
15;"C301,C303,C302,C304";"C_0805_2012Metric";4;"22u";;;
16;"C403,C103";"C_0603_1608Metric";2;"2.2u";;;
17;"R212";"ERJ6_B_BW_R_LW_CW_D";1;"ERJ-6DSFR12V";;;
18;"FB101";"NFZ15SG152SN10B";1;"BLM15AX102SZ1D";;;
19;"C107";"C_0402_1005Metric";1;"1u";;;
20;"J104";"HUSSP6W41P127_2X3_381X343X440P";1;"20021121-00006T4LF";;;
21;"H101,H102";"MountingHole_3.2mm_M3";2;"MountingHole";;;
22;"IC201";"QFN40P300X300X90-21N";1;"TMC6300-LA";;;
23;"R309,R107";"R_0402_1005Metric";2;"13k";;;
24;"D402";"SODFL1006X40N";1;"SZESD9101P2T5G";;;
25;"R103,R402,R102,R104,R406,R404,R209";"R_0402_1005Metric";7;"2.2k";;;
26;"R301,R302";"R_0402_1005Metric";2;"10";;;
27;"R307";"R_0402_1005Metric";1;"7.68k";;;
28;"C305,C306";"C_0603_1608Metric";2;"1u";;;
29;"J103";"SHDR2W50P0X200_1X2_590X450X600P";1;"B2B-PH-K-S_LF__SN_";;;
30;"TP207,TP201,TP202,TP204,TP206,TP203,TP205";"TestPoint_Pad_D1.0mm";7;"TestPoint";;;
31;"R211";"R_0402_1005Metric";1;"27k";;;
32;"IC202";"SOT95P280X145-5N";1;"TLV8541DBVR";;;
33;"L302,L301";"VLS3015";2;"VLS3015CX-4R7M-1";;;
34;"D301";"SOD123W";1;"PTVS12VS1UR,115";;;
35;"J102";"SHDR3W50P0X200_1X3_790X450X600P";1;"B3B-PH-K-S_LF__SN_";;;
